navn,kategori,plattform,jurisdiksjon,bak_gateway,kilde_dato
Frosta,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Frøya,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Fyresdal,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Færder,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Gamvik,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Gausdal,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Gildeskål,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Giske,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Gjemnes,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Gjerdrum kommune,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Gjerstad,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Gjesdal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Gjøvik,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Gloppen,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Gol,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Gran,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Grane,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Gratangen,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Grimstad,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Grong,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Grue,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Gulen,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Hadsel,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Halden,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Hamar,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Hamarøy,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Hammerfest,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Haram,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Hareid,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Harstad,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Hasvik,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Hattfjelldal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Haugesund,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Heim,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Hemnes,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Hemsedal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Herøy,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Herøy,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Hitra,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Hjartdal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Hjelmeland,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Hol,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Hole,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Holmestrand,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Holtålen,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Horten,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Hurdal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Hustadvika,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Hvaler,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Hyllestad kommune,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Hå kommune,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Hægebostad,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Høyanger,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Høylandet,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Ibestad,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Inderøy,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Indre Fosen,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Indre Østfold,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Iveland kommune,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Jevnaker,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Karasjok,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Karlsøy,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Karmøy,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Kautokeino,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Kinn,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Klepp,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Kongsberg,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Kongsvinger,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Kragerø,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Kristiansand,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Kristiansund,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Krødsherad kommune,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Kvam,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Kvinesdal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Kvinnherad,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Kviteseid,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Kvitsøy,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Kvæfjord,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Kvænangen,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
